dataset,metric,baselines_5.2.1,hyperbolic_5.2.1,lgbm_5.2.1,sigmoid_5.2.1,xgboost_5.2.1
age_prediction,f1,0.363±0.004,**0.364±0.004** / +0.099,0.293±0.007 / -6.992,0.362±0.003 / -0.146,0.293±0.006 / -7.024
age_prediction,f1_macro,0.363±0.004,**0.364±0.004** / +0.097,0.293±0.007 / -6.935,0.361±0.003 / -0.150,0.293±0.006 / -6.967
age_prediction,f1_micro,0.373±0.003,**0.378±0.004** / +0.506,0.325±0.007 / -4.827,0.377±0.004 / +0.329,0.322±0.006 / -5.165
age_prediction,inference_time,44.756±2.881,21.104±1.641 / -52.8%,126.862±1.324 / +183.5%,**19.101±0.873** / -57.3%,98.493±2.441 / +120.1%
age_prediction,train_time,7000.000±300.000,5833.342±406.882 / -16.7%,**4031.379±35.788** / -42.4%,7555.158±454.636 / +7.9%,8286.741±138.380 / +18.4%
cifar10,f1,0.445±0.004,**0.470±0.004** / +2.501,0.265±0.006 / -17.964,0.445±0.004 / +0.001,0.255±0.005 / -18.959
cifar10,f1_macro,0.446±0.004,**0.471±0.004** / +2.505,0.266±0.006 / -17.981,0.446±0.004 / +0.005,0.256±0.005 / -18.976
cifar10,f1_micro,0.449±0.005,**0.474±0.005** / +2.475,0.252±0.006 / -19.692,0.449±0.005 / -0.025,0.245±0.007 / -20.381
cifar10,inference_time,12.138±0.260,12.805±0.260 / +5.5%,119.533±1.988 / +884.8%,**12.138±0.260** / -0.0%,53.106±1.390 / +337.5%
cifar10,train_time,1008.633±16.469,1064.107±16.469 / +5.5%,6602.212±86.107 / +554.6%,**1008.633±16.469** / -0.0%,20011.505±90.475 / +1884.0%
genbase,f1,0.771±0.009,**0.940±0.027** / +16.881,0.808±0.012 / +3.654,0.814±0.021 / +4.273,0.793±0.014 / +2.154
genbase,f1_macro,0.617±0.023,0.746±0.028 / +12.899,**0.792±0.013** / +17.517,0.657±0.011 / +4.054,0.777±0.015 / +16.017
genbase,f1_micro,0.795±0.006,**0.937±0.015** / +14.193,0.814±0.011 / +1.933,0.879±0.026 / +8.410,0.799±0.013 / +0.433
genbase,inference_time,464.661±5.848,27.207±1.597 / -94.1%,64.576±0.843 / -86.1%,**19.675±1.850** / -95.8%,31.611±1.641 / -93.2%
genbase,train_time,1024.994±0.180,**579.266±60.586** / -43.5%,622.939±9.449 / -39.2%,1194.767±246.995 / +16.6%,6210.800±246.995 / +505.9%
mediamill,f1,0.624±0.001,0.636±0.001 / +1.233,0.612±0.010 / -1.200,**0.636±0.001** / +1.242,0.608±0.011 / -1.600
mediamill,f1_macro,0.331±0.006,0.374±0.004 / +4.316,0.340±0.012 / +0.878,**0.386±0.003** / +5.435,0.338±0.013 / +0.678
mediamill,f1_micro,0.642±0.001,0.664±0.001 / +2.259,0.000±0.000 / -64.186,**0.665±0.002** / +2.266,0.000±0.000 / -64.186
mediamill,inference_time,1076.787±118.010,**111.886±10.593** / -89.6%,5484.543±53.485 / +409.3%,161.052±26.332 / -85.0%,2308.792±40.465 / +114.4%
mediamill,train_time,190683.540±8163.140,**13589.973±2511.710** / -92.9%,98058.349±935.113 / -48.6%,28408.017±7495.556 / -85.1%,198613.332±1024.973 / +4.2%
mnist,f1,0.915±0.004,**0.928±0.002** / +1.332,0.858±0.004 / -5.671,0.921±0.004 / +0.566,0.863±0.002 / -5.191
mnist,f1_macro,0.915±0.004,**0.927±0.002** / +1.218,0.856±0.004 / -5.912,0.919±0.003 / +0.450,0.861±0.002 / -5.420
mnist,f1_micro,0.915±0.004,**0.928±0.002** / +1.343,0.843±0.005 / -7.210,0.921±0.004 / +0.586,0.848±0.001 / -6.667
mnist,inference_time,50.000±2.000,49.551±8.324 / -0.9%,56.300±1.558 / +12.6%,**7.488±0.319** / -85.0%,25.699±0.281 / -48.6%
mnist,train_time,5200.000±120.000,5702.799±673.286 / +9.7%,2281.134±110.994 / -56.1%,**1481.880±50.117** / -71.5%,7502.011±42.878 / +44.3%
yeast,f1,0.587±0.024,0.601±0.029 / +1.444,0.415±0.001 / -17.203,**0.603±0.022** / +1.655,0.515±0.020 / -7.208
yeast,f1_macro,0.414±0.007,0.485±0.005 / +7.157,0.279±0.000 / -13.489,**0.486±0.007** / +7.265,0.333±0.011 / -8.115
yeast,f1_micro,0.603±0.024,0.615±0.028 / +1.154,0.478±0.001 / -12.550,**0.618±0.021** / +1.494,0.535±0.022 / -6.777
yeast,inference_time,36.912±3.264,22.494±3.423 / -39.1%,19.091±0.027 / -48.3%,20.505±1.421 / -44.4%,**13.583±0.640** / -63.2%
yeast,train_time,16195.257±1975.638,7085.484±837.802 / -56.2%,**464.711±3.899** / -97.1%,5881.499±295.064 / -63.7%,1798.038±19.517 / -88.9%
